DateTime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_remainder,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
2006-12-16,1209.176,34.922,236.24376,13.082828,0.0,546.0,4926.0,14680.934,63.75,9.333,5.667,2.167,0.167
2006-12-17,3390.46,226.006,240.08702,9.999027,2033.0,4187.0,13341.0,36946.668,63.75,9.333,5.667,2.167,0.167
2006-12-18,2203.826,161.792,241.23169,6.4216666,1063.0,2621.0,14018.0,19028.434,63.75,9.333,5.667,2.167,0.167
2006-12-19,1666.194,150.942,241.9993,4.9263887,839.0,7602.0,6197.0,13131.9,63.75,9.333,5.667,2.167,0.167
2006-12-20,2225.748,160.998,242.30807,6.467361,0.0,2648.0,14063.0,20384.8,63.75,9.333,5.667,2.167,0.167
2006-12-21,1717.112,144.166,241.04227,5.0281944,1765.0,2623.0,10421.0,13809.533,63.75,9.333,5.667,2.167,0.167
2006-12-22,2341.338,186.906,241.18456,6.8729167,3151.0,350.0,11131.0,24390.3,63.75,9.333,5.667,2.167,0.167
2006-12-23,4773.386,221.47,240.13606,14.028056,2669.0,425.0,14726.0,61736.434,63.75,9.333,5.667,2.167,0.167
2006-12-24,2550.012,149.9,241.68744,7.6404166,1703.0,5082.0,6891.0,28824.2,63.75,9.333,5.667,2.167,0.167
2006-12-25,2743.12,240.28,243.39993,7.951528,6620.0,1962.0,5795.0,31341.666,63.75,9.333,5.667,2.167,0.167
2006-12-26,3934.11,165.102,241.62543,11.347917,1086.0,2533.0,14979.0,46970.5,63.75,9.333,5.667,2.167,0.167
2006-12-27,1528.76,178.90201,243.76736,4.5175,0.0,314.0,6976.0,18189.334,63.75,9.333,5.667,2.167,0.167
2006-12-28,2072.638,208.876,243.26834,6.0862503,2207.0,4419.0,9176.0,18741.967,63.75,9.333,5.667,2.167,0.167
2006-12-29,3174.392,196.394,240.8713,9.271389,1252.0,5162.0,11329.0,35163.535,63.75,9.333,5.667,2.167,0.167
2006-12-30,2801.738,312.756,240.53633,8.317083,3148.0,7929.0,12516.0,23102.633,63.75,9.333,5.667,2.167,0.167
2006-12-31,3494.196,150.852,239.89658,10.199584,0.0,347.0,6502.0,51387.6,63.75,9.333,5.667,2.167,0.167
2007-01-01,2749.004,148.166,240.12897,7.9169445,0.0,352.0,5880.0,39584.734,28.36,10.2,0.6,0.0,0.0
2007-01-02,1269.236,190.342,241.94377,3.714028,0.0,348.0,6562.0,14243.934,28.36,10.2,0.6,0.0,0.0
2007-01-03,1014.054,196.728,243.5571,3.0140278,0.0,344.0,4765.0,11791.9,28.36,10.2,0.6,0.0,0.0
2007-01-04,3259.412,202.302,239.7503,9.478194,1051.0,7597.0,10896.0,34779.535,28.36,10.2,0.6,0.0,0.0
2007-01-05,2713.364,173.154,240.49577,7.8851385,1483.0,379.0,7602.0,35758.734,28.36,10.2,0.6,0.0,0.0
2007-01-06,1508.378,192.188,239.67305,4.543889,1336.0,402.0,5678.0,17723.633,28.36,10.2,0.6,0.0,0.0
2007-01-07,2447.62,246.074,240.9025,7.282639,1987.0,8177.0,12810.0,17819.666,28.36,10.2,0.6,0.0,0.0
